Word,POS Tag,Frequency
khususnya,ADJ,2
anakanak,NUM,1
ksih,PROPN,3
pikirkan,NOUN,1
baik2,NOUN,2
kawan,NOUN,1
obati,NOUN,2
kata2,NOUN,1
hadeuhhhhh,NUM,1
mkc,PROPN,1
sayang,ADV,7
solutif,VERB,4
pun,X,29
bad,NOUN,3
experience,NOUN,1
aman,ADJ,4
kedua,NUM,2
kali,NOUN,28
balasannya,NOUN,3
dijam,PROPN,1
balesan,NOUN,6
selang,NOUN,3
kekirimnya,NUM,1
obrolan,NOUN,3
berakhir,VERB,6
transfer,NOUN,6
ngulang,VERB,1
kirim,NOUN,17
foto,NOUN,8
tombol,NOUN,3
share,NOUN,2
ditulisan,NOUN,1
mengetik,VERB,1
hadehh,NOUN,1
keburu,PROPN,9
daruratmantap,NOUN,1
terang,ADJ,1
sampah,PROPN,5
layanannya,NOUN,2
ntahlah,PROPN,1
dokternyasangat,NOUN,1
new,PROPN,1
mom,PROPN,1
trims,NOUN,8
responyya,NUM,1
krn,ADV,14
bebas,ADJ,1
pula,ADV,9
dokrrnya,NOUN,1
bahsanya,NUM,1
menakutkan,VERB,1
singkat,ADJ,11
padat,ADJ,4
emak2,NUM,1
bgs,NUM,1
selamat,VERB,5
malam,NOUN,15
doksya,NUM,1
berusia,VERB,1
39,NUM,1
th,PROPN,2
mempunyai,VERB,2
riwayat,NOUN,8
darah,NOUN,8
tinggi,ADJ,8
minum,NOUN,10
tinggisya,NOUN,1
program,NOUN,2
ank,PROPN,2
kondisi,NOUN,14
si,DET,11
inimah,NUM,1
astaga,NOUN,2
kudu,NOUN,1
emng,NOUN,2
kementerian,NOUN,2
detailsehat,PROPN,1
bg,PROPN,1
membayar,VERB,14
ataupun,CONJ,1
sharing,VERB,2
nyambung,PROPN,3
syaiful,PROPN,1
rahim,PROPN,1
doank,PROPN,3
auto,NOUN,6
manfaat,NOUN,2
dibutuhkan,VERB,3
slalu,NOUN,2
ongkir,PROPN,9
tebus,VERB,12
aloshop,PROPN,4
gagal,VERB,10
ngikutin,NUM,1
diminta,VERB,1
offline,ADJ,7
mendapatkan,VERB,13
lanjutan,NOUN,1
gaji,NOUN,1
usia,NOUN,4
82,NUM,1
tahun,NOUN,10
perut,NOUN,7
kembunga,VERB,1
sering,ADV,16
gas,NOUN,2
diawali,VERB,1
sedikit,ADV,11
mules,NOUN,1
kalaummules,NOUN,1
sara,PROPN,1
lemes,NOUN,2
dokrer,NUM,1
ramahjawaban,PROPN,1
ok,NOUN,42
baikkkk,ADJ,2
mantaprespon,PROPN,1
kejutan,NOUN,1
awal2,NUM,2
enjoy,NOUN,1
yah,VERB,7
jd,NOUN,11
dlm,ADP,6
beberapa,DET,9
bbrpa,NUM,1
tergantung,VERB,1
atau,CONJ,28
saingan,NOUN,1
turun,VERB,2
membqntu,ADJ,1
dojternya,NUM,1
pinter,VERB,1
senang,PROPN,9
pedalaman,NOUN,2
psikolognya,PROPN,3
mendengarkan,VERB,3
platformnya,NOUN,1
terbatss,NUM,1
merespon,VERB,17
selama,ADP,9
maka,CONJ,2
percakapan,NOUN,9
untung,NOUN,2
mereka,PRON,3
meraka,NOUN,1
rugi,NOUN,20
diakhiri,VERB,2
dirugikan,VERB,2
peecuma,NOUN,1
buang,NOUN,12
duit,NOUN,28
wektu,NUM,1
gus,PROPN,1
kasihdokterx,PROPN,1
ramahpuas,NOUN,1
jawabanx,PROPN,1
terlanjur,VERB,2
alasan,NOUN,6
keterangan,NOUN,9
sibuk,ADJ,6
doktermyaapapun,NOUN,1
titel,NOUN,1
hebatnya,NOUN,1
lulusan,NOUN,1
universitas,NOUN,2
manapun,NOUN,2
etitud,NOUN,1
kepada,ADP,6
demi,ADP,4
45rbsy,NOUN,1
ss,NOUN,1
ketidakpuasan,NOUN,1
iniapk,NOUN,1
apaan,NOUN,6
mengatakan,VERB,2
pujianapa,NUM,1
sihcari,NUM,1
ajah,NUM,1
ni,PROPN,8
top,PROPN,8
pelayanaanya,NUM,1
bgd,NUM,3
sangaaatttt,PROPN,1
ramaahhh,NUM,1
jelass,PROPN,1
berteletele,NUM,1
ditanggapi,VERB,1
sekarng,NOUN,1
appnya,NUM,1
baby,NOUN,1
umur,NOUN,4
4,NUM,8
bulan,NOUN,16
terkungkap,NUM,1
direspon,VERB,11
cept,NUM,1
nyaman,PROPN,8
berkonsultasi,VERB,8
jwbn,NOUN,1
sekalipuas,PROPN,1
cat,VERB,2
aneh,PROPN,6
close,NOUN,3
sistem,NOUN,13
males,NOUN,2
malesan,NOUN,1
gitu,NOUN,8
lowres,NOUN,1
bahkan,ADV,11
bercerita,VERB,1
mengenai,ADP,9
kronologi,NOUN,1
awal,ADJ,14
mula,NOUN,1
punlangsung,NOUN,1
dipotong,VERB,4
asal,ADP,3
asalan,NOUN,2
antibiotik,NOUN,3
nyeri,NOUN,9
sebelumnya,ADJ,7
lain,ADJ,33
7,NUM,9
prediksi,NOUN,2
ngga,NOUN,10
efek,NOUN,1
apapun,NOUN,6
resistensi,NOUN,1
klo,ADV,15
gini,PROPN,21
bikin,NOUN,13
kami,PRON,20
saangatt,NOUN,1
berkali,VERB,5
mencarikan,VERB,1
terakhir,ADJ,7
to,NOUN,7
point,NOUN,3
dishare,VERB,1
digoogle,PROPN,1
niat,NOUN,4
biar,NOUN,13
gamau,VERB,1
ditanya,VERB,8
diselesaiin,VERB,1
kecewaa,NUM,1
tipe,NOUN,1
konseling,NOUN,1
sejahteraklo,NUM,1
bertarifsedangkan,NOUN,1
hijau,ADJ,1
gratispantesan,NOUN,1
fikirankarena,NOUN,1
pengaruh,NOUN,1
dunia,NOUN,3
buruk,ADJ,20
sehatklo,VERB,1
jasmani,NOUN,1
rohani,ADJ,1
dimahal2,PROPN,1
akurat,ADJ,12
praktis,NOUN,9
tq,PROPN,2
luarbiasa,VERB,1
pnyakit,NUM,1
okk,PROPN,1
umurnya,NOUN,1
rmh,NUM,3
diare,NOUN,2
susunya,NOUN,1
ganti,NOUN,5
susu,NOUN,1
lln,NUM,1
babnya,PROPN,1
aga,PROPN,1
kemerahan,NOUN,2
berlendir,NOUN,1
ap,NOUN,2
sja,NUM,2
memuaskansehat,VERB,1
memberkati,VERB,1
monyet,NOUN,1
gbisa,NOUN,2
belom,NOUN,7
sampaikan,VERB,3
selesai,VERB,11
menyampaikan,VERB,1
menyampai,NOUN,1
tulang,NOUN,6
terasa,VERB,12
kaku,NOUN,4
bengkak,VERB,2
tkt,VERB,1
menyembuh,NOUN,1
komunikatif,ADJ,5
menarik,VERB,2
membaca,VERB,1
artikelnya,NOUN,4
artikel,NOUN,5
gizi,NOUN,2
terpenuhi,VERB,2
dalamnya,NOUN,2
bisakah,VERB,1
tambahkan,NOUN,2
perbandingan,NOUN,1
asuransi,NOUN,7
terburuk,ADJ,3
2yg,NOUN,1
baiksmuanya,NUM,1
ramahsangat,PROPN,2
adaan,NOUN,1
darurat,ADJ,15
masak,NOUN,3
iya,NOUN,5
nggak,NOUN,15
bantuan,NOUN,5
sendirian,NOUN,2
bantuin,ADJ,1
bedah,NOUN,2
saraf,NOUN,3
alodok,NOUN,11
neurologi,NOUN,1
trimksih,PROPN,1
goodddd,PROPN,1
disaat,NOUN,7
ditempat,NOUN,1
menenangkan,VERB,4
lipat,NOUN,1
yaaa,NOUN,4
mah,NOUN,6
penasaran,NOUN,1
payah,NOUN,6
bayarannya,NOUN,2
puasdan,ADJ,1
dokterny,PROPN,2
tks,NUM,6
berfungsi,VERB,2
i,PROPN,9
love,NOUN,3
pokoknyaaaaaa,NUM,1
ratna,PROPN,1
lega,PROPN,2
mendengar,VERB,2
masukkan,VERB,4
nomornya,NOUN,1
kunjung,ADV,7
dikirimkan,VERB,1
ribet,NOUN,12
sesulit,NOUN,1
sulit,ADJ,7
paling,ADV,6
gadak,NUM,1
tanggepin,VERB,1
tibatiba,NUM,1
waktunya,NOUN,5
habis,NOUN,15
siasiaaa,NUM,1
un,NOUN,2
bye,PROPN,2
anjayyy,NUM,1
wuh,PROPN,1
miskin,NOUN,2
ketemu,VERB,3
kayak,NOUN,3
anj,NOUN,4
kntollll,NOUN,1
free,NOUN,7
direkomendasikan,VERB,2
pertama,NUM,20
sia,NOUN,8
mudahan,VERB,1
dokperut,NOUN,1
kram,NOUN,1
sertai,NUM,1
lendir,NOUN,1
putih,ADJ,3
berbauhabis,NOUN,1
hati,NOUN,14
kejala,PROPN,1
kah,PROPN,2
semakin,ADV,5
lebij,VERB,1
sertifikat,NOUN,1
vaksinasi,NOUN,1
covid,NUM,1
dong,PROPN,19
vitur,PROPN,1
video,NOUN,3
fotokarena,VERB,1
kondisinya,NOUN,1
apallgi,VERB,1
hewan,NOUN,1
tanya2,NOUN,1
45ribu,NOUN,2
bank,NOUN,5
atw,PROPN,1
sopay,PROPN,1
priksa,NOUN,4
bidan,NOUN,1
80,NUM,1
sma,NOUN,4
andrologi,PROPN,2
lh,NOUN,1
pokoknya,NOUN,6
berikan,VERB,4
trbaik,NUM,1
adalah,VERB,3
cara,NOUN,12
pembayarannya,NOUN,2
operasional,ADJ,1
baikterimakasih,NUM,3
menganilisa,NOUN,1
huh,PROPN,1
mo,PROPN,1
tulus,NOUN,1
hbs,PROPN,1
gr2,NOUN,2
nih,NOUN,8
asli,ADJ,1
bkin,NOUN,1
mw,VERB,3
pikir2,NOUN,2
penjelasanx,PROPN,1
sngt,PROPN,5
travelling,NOUN,1
notif,NOUN,4
hilang,VERB,6
imanuel,PROPN,2
baikresponnya,ADJ,1
venni,NOUN,1
allah,PROPN,7
mudahkan,NOUN,1
segala,DET,5
urusan,NOUN,4
jazaakillahu,NOUN,1
khairon,NUM,1
semaunya,NOUN,1
seadanya,NOUN,3
